[5.401s][info][gc,start    ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[5.401s][info][gc,task     ] GC(11) Using 13 workers of 13 for evacuation
[5.419s][info][gc,phases   ] GC(11)   Pre Evacuate Collection Set: 0.2ms
[5.419s][info][gc,phases   ] GC(11)   Merge Heap Roots: 0.0ms
[5.419s][info][gc,phases   ] GC(11)   Evacuate Collection Set: 17.4ms
[5.419s][info][gc,phases   ] GC(11)   Post Evacuate Collection Set: 0.4ms
[5.419s][info][gc,phases   ] GC(11)   Other: 0.0ms
[5.419s][info][gc,heap     ] GC(11) Eden regions: 49->0(49)
[5.419s][info][gc,heap     ] GC(11) Survivor regions: 8->8(8)
[5.419s][info][gc,heap     ] GC(11) Old regions: 100->110
[5.419s][info][gc,heap     ] GC(11) Humongous regions: 0->0
[5.419s][info][gc,metaspace] GC(11) Metaspace: 7746K(8064K)->7746K(8064K) NonClass: 6934K(7104K)->6934K(7104K) Class: 812K(960K)->812K(960K)
[5.419s][info][gc          ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 1253M->939M(9216M) 18.131ms
[5.419s][info][gc,cpu      ] GC(11) User=0.11s Sys=0.05s Real=0.02s
[5.575s][info][gc,start    ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[5.575s][info][gc,task     ] GC(12) Using 13 workers of 13 for evacuation
[5.592s][info][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.2ms
[5.592s][info][gc,phases   ] GC(12)   Merge Heap Roots: 0.0ms
[5.592s][info][gc,phases   ] GC(12)   Evacuate Collection Set: 15.7ms
[5.592s][info][gc,phases   ] GC(12)   Post Evacuate Collection Set: 0.5ms
[5.592s][info][gc,phases   ] GC(12)   Other: 0.0ms
[5.592s][info][gc,heap     ] GC(12) Eden regions: 49->0(49)
[5.592s][info][gc,heap     ] GC(12) Survivor regions: 8->8(8)
[5.592s][info][gc,heap     ] GC(12) Old regions: 110->120
[5.592s][info][gc,heap     ] GC(12) Humongous regions: 0->0
[5.592s][info][gc,metaspace] GC(12) Metaspace: 7746K(8064K)->7746K(8064K) NonClass: 6934K(7104K)->6934K(7104K) Class: 812K(960K)->812K(960K)
[5.592s][info][gc          ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 1331M->1017M(9216M) 16.595ms
[5.592s][info][gc,cpu      ] GC(12) User=0.03s Sys=0.00s Real=0.02s
[5.751s][info][gc,start    ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[5.751s][info][gc,task     ] GC(13) Using 13 workers of 13 for evacuation
[5.766s][info][gc,phases   ] GC(13)   Pre Evacuate Collection Set: 0.1ms
[5.766s][info][gc,phases   ] GC(13)   Merge Heap Roots: 0.0ms
[5.766s][info][gc,phases   ] GC(13)   Evacuate Collection Set: 14.7ms
[5.766s][info][gc,phases   ] GC(13)   Post Evacuate Collection Set: 0.5ms
[5.766s][info][gc,phases   ] GC(13)   Other: 0.1ms
[5.766s][info][gc,heap     ] GC(13) Eden regions: 49->0(54)
[5.766s][info][gc,heap     ] GC(13) Survivor regions: 8->8(8)
[5.766s][info][gc,heap     ] GC(13) Old regions: 120->129
[5.766s][info][gc,heap     ] GC(13) Humongous regions: 0->0
[5.766s][info][gc,metaspace] GC(13) Metaspace: 7746K(8064K)->7746K(8064K) NonClass: 6934K(7104K)->6934K(7104K) Class: 812K(960K)->812K(960K)
[5.766s][info][gc          ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 1409M->1095M(9216M) 15.624ms
[5.766s][info][gc,cpu      ] GC(13) User=0.05s Sys=0.05s Real=0.02s
[5.943s][info][gc,start    ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[5.943s][info][gc,task     ] GC(14) Using 13 workers of 13 for evacuation
[5.963s][info][gc,phases   ] GC(14)   Pre Evacuate Collection Set: 0.1ms
[5.963s][info][gc,phases   ] GC(14)   Merge Heap Roots: 0.0ms
[5.963s][info][gc,phases   ] GC(14)   Evacuate Collection Set: 18.7ms
[5.963s][info][gc,phases   ] GC(14)   Post Evacuate Collection Set: 0.6ms
[5.963s][info][gc,phases   ] GC(14)   Other: 0.0ms
[5.963s][info][gc,heap     ] GC(14) Eden regions: 54->0(69)
[5.963s][info][gc,heap     ] GC(14) Survivor regions: 8->8(8)
[5.963s][info][gc,heap     ] GC(14) Old regions: 129->140
[5.963s][info][gc,heap     ] GC(14) Humongous regions: 0->0
[5.963s][info][gc,metaspace] GC(14) Metaspace: 7746K(8064K)->7746K(8064K) NonClass: 6934K(7104K)->6934K(7104K) Class: 812K(960K)->812K(960K)
[5.963s][info][gc          ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 1527M->1181M(9216M) 19.769ms
[5.963s][info][gc,cpu      ] GC(14) User=0.09s Sys=0.05s Real=0.02s
[6.192s][info][gc,start    ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[6.192s][info][gc,task     ] GC(15) Using 13 workers of 13 for evacuation
[6.215s][info][gc,phases   ] GC(15)   Pre Evacuate Collection Set: 0.2ms
[6.215s][info][gc,phases   ] GC(15)   Merge Heap Roots: 0.1ms
[6.215s][info][gc,phases   ] GC(15)   Evacuate Collection Set: 22.5ms
[6.215s][info][gc,phases   ] GC(15)   Post Evacuate Collection Set: 0.7ms
[6.215s][info][gc,phases   ] GC(15)   Other: 0.1ms
[6.215s][info][gc,heap     ] GC(15) Eden regions: 69->0(71)
[6.215s][info][gc,heap     ] GC(15) Survivor regions: 8->10(10)
[6.215s][info][gc,heap     ] GC(15) Old regions: 140->152
[6.215s][info][gc,heap     ] GC(15) Humongous regions: 0->0
[6.215s][info][gc,metaspace] GC(15) Metaspace: 7751K(8064K)->7751K(8064K) NonClass: 6939K(7104K)->6939K(7104K) Class: 812K(960K)->812K(960K)
[6.215s][info][gc          ] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 1733M->1291M(9216M) 23.600ms
[6.215s][info][gc,cpu      ] GC(15) User=0.14s Sys=0.17s Real=0.02s
[6.437s][info][gc,start    ] GC(16) Pause Young (Normal) (G1 Evacuation Pause)
[6.437s][info][gc,task     ] GC(16) Using 13 workers of 13 for evacuation
[6.462s][info][gc,phases   ] GC(16)   Pre Evacuate Collection Set: 0.2ms
[6.462s][info][gc,phases   ] GC(16)   Merge Heap Roots: 0.0ms
[6.462s][info][gc,phases   ] GC(16)   Evacuate Collection Set: 23.9ms
[6.462s][info][gc,phases   ] GC(16)   Post Evacuate Collection Set: 0.6ms
[6.462s][info][gc,phases   ] GC(16)   Other: 0.1ms
[6.462s][info][gc,heap     ] GC(16) Eden regions: 71->0(77)
[6.462s][info][gc,heap     ] GC(16) Survivor regions: 10->11(11)
[6.462s][info][gc,heap     ] GC(16) Old regions: 152->165
[6.462s][info][gc,heap     ] GC(16) Humongous regions: 0->0
[6.462s][info][gc,metaspace] GC(16) Metaspace: 7751K(8064K)->7751K(8064K) NonClass: 6939K(7104K)->6939K(7104K) Class: 812K(960K)->812K(960K)
[6.462s][info][gc          ] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 1859M->1406M(9216M) 24.904ms
[6.462s][info][gc,cpu      ] GC(16) User=0.02s Sys=0.06s Real=0.02s
[6.700s][info][gc,start    ] GC(17) Pause Young (Normal) (G1 Evacuation Pause)
[6.700s][info][gc,task     ] GC(17) Using 13 workers of 13 for evacuation
[6.727s][info][gc,phases   ] GC(17)   Pre Evacuate Collection Set: 0.2ms
[6.727s][info][gc,phases   ] GC(17)   Merge Heap Roots: 0.1ms
[6.727s][info][gc,phases   ] GC(17)   Evacuate Collection Set: 25.5ms
[6.727s][info][gc,phases   ] GC(17)   Post Evacuate Collection Set: 0.5ms
[6.727s][info][gc,phases   ] GC(17)   Other: 0.1ms
[6.727s][info][gc,heap     ] GC(17) Eden regions: 77->0(91)
